junction,closure_rate,prediction_accuracy,avg_prediction_error
CIL CrossJunction-JayamahalRd,0.0,1.0,0.17790796
CID-CarltonHouseJunc,0.0,1.0,0.26480874
Bommanahalli,0.0,0.9615384615384616,0.049011223
BiryandCircle,0.0,1.0,0.2836032
28thMainJayanagarJunc,0.0,1.0,0.01938496
29thMainRdBTM LayoutJunc,0.0,1.0,0.046669688
5thMainRPC Layout-Vijayanagar,0.0,1.0,0.2640743
A S CharStreet-MysoreRdJunc,0.0,0.4,0.4438707
ASC Junction,0.0,1.0,0.14433084
AdugodiJunc,0.0,1.0,0.3079652
AnandRaoJunction,0.0,1.0,0.4045877
AnilKumbleCircle,0.0,0.875,0.23323977
AnjaneyaTempleJunc,0.0,1.0,0.28783166
ArakereGateJunc,0.0,1.0,0.031286817
Arts&CraftsCircle,0.0,1.0,0.1621769
AshirwadamCircle,0.0,1.0,0.27643925
AttiguppeCircleJunction,0.0,1.0,0.31262192
BHEL Gate,0.0,1.0,0.0059782215
BagalakunteCrossJunction,0.0,1.0,0.07072809
Bamboobazar(Shivajinagar),0.0,1.0,0.38358957
BangaloreBodyBuildersJunc,0.0,1.0,0.16799878
Basappa Circle Junction,0.0,1.0,0.46550313
BasavamantapaJunc-Dr RajkumarRd,0.0,0.5,0.44009757
BasaweshwaraCircle,0.0,1.0,0.3928522
Basveshwarnagar 8th main Junction,0.0,1.0,0.07782645
BegumMahalJunc,0.0,0.75,0.27827483
BhadrappaLayout,0.0,1.0,0.31398007
BhashyamCircle,0.0,1.0,0.1520117
BhashyamCircle-SadashivNagar,0.0,1.0,0.153217
Geethanjali jn,0.0,1.0,0.18970498
GokuldasImagesJunc,0.0,1.0,0.079539396
GopalGowdaJUnc,0.0,1.0,0.43815836
KamrajRdJunction,0.0,1.0,0.17522603
KensingtonOvalJunc,0.0,1.0,0.17301543
KodigehalliCross,0.0,1.0,0.19278398
KogilluCrossJunc,0.0,1.0,0.053364575
27th Cross Jayanagar(Ganapathi Temple),0.0,1.0,0.40821683
KoramangalaWaterTankJunc,0.0,0.9310344827586207,0.09892616
Kudlu Gate Junc,0.0,1.0,0.03607914
KuvempuCircle,0.0,1.0,0.18779206
"KuvempuCircleJunc,HAL MainGate",0.0,0.0,0.63834465
LRDE Junction,0.0,1.0,0.25124297
LalbaghMainGateJunc,0.0,0.8333333333333334,0.40266922
LalbaghWestGate,0.0,1.0,0.3708259
LinkRoadMalleswaramJunc,0.0,1.0,0.2600622
LowerAgaram(IndiaGarage)Junc,0.0,1.0,0.21336277
MC Circle,0.0,1.0,0.11895578
MICO Bande,0.0,1.0,0.3291769
MS RamaiahJunc(TollGate),0.0,1.0,0.08865244
MSRamaiahHospitalJunc,0.0,1.0,0.20337118
MahalaxmiLayoutEntranceJunc,0.0,1.0,0.1428527
Malleswaram18thCrossRd-SampigeRdJunc,0.0,1.0,0.13425343
ManipalCentreJunc,0.0,1.0,0.105131924
MarenahalliRd-18thMainRdJunc,0.0,0.5,0.38851437
MargosaRd-18thCrossJunc,0.0,1.0,0.1500312
Marigowda-TavarkereRdJunc,0.0,1.0,0.18591467
MayohallJunction,0.0,0.8,0.348558
MeenakshiMallJunc,0.0,1.0,0.01461223
KatriguppeJunction,0.0,1.0,0.11201627
Kammanahalli-RingRoadJunction,0.0,1.0,0.1107547
GorappanapalyaJunction,0.0,0.0,0.72950655
KamakyaJunction,0.0,1.0,0.022232667
GovindapuraCross,0.0,1.0,0.43590137
GowdanapalyaJunction,0.0,1.0,0.034337897
HSR14thMainJunc,0.0,1.0,0.17988853
HainsJunc,0.0,0.3333333333333333,0.41312036
HalliThindi,0.0,1.0,0.23147196
HennurRoad-ORR Junc,0.0,1.0,0.08280469
HopefarmJunction,0.0,1.0,0.015145034
